"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"86",919,1264,1582,1992,3054,2662,0.114717403469502,0.223189983669026,0.172052035249685,1.25916561314791,0.317515099223468,-862.42,3957.5563,-2975.062,20,1851,3.10963296890259,40.6012945175171,0.5,1.25,4,128,"BLM"
"87",1078,1395,1853,2536,3342,2796,0.15561631351105,0.306552962298025,0.233397881307666,1.36859147328656,0.286621751684312,-748.7448,4638.1814,-3136.3949,0,1629,14.4340944290161,164.054611206055,3.125,6.875,23,8,"BLM"
"88",1134,1506,1962,2507,3301,2943,0.121951219512195,0.235930735930736,0.182906365365253,1.27777777777778,0.254417632528976,-914.3402,4738.653,-3137.6579,5.33,1650,6.31755065917969,64.7988739013672,-0.25,2.75,9,1,"BLM"
"89",890,1158,1502,1889,2969,2684,0.114125626658803,0.22888573456352,0.171163202122954,1.25765645805593,0.328114515768284,-854.1868,3786.2246,-2966.5439,46.66,1846,5.73025560379028,139.763641357422,0.625,2.375,7,4,"BLM"
"90",996,1324,1645,2148,3062,2617,0.132612707619299,0.276434381182678,0.198892843020957,1.30577507598784,0.301041002761844,-817.8246,4136.7196,-2907.7856,72,1872,2.71992325782776,29.7448816299438,0.625,1.125,3,64,"BLM"
"91",828,1107,1455,1959,3056,2530,0.147627416520211,0.28125,0.221408698198858,1.34639175257732,0.354910219463534,-706.8078,3769.6122,-2976.9015,56,1924,1.06752026081085,18.4349479675293,-0.125,0.375,2,128,"BLM"
"92",798,1090,1360,1858,2868,2470,0.154754505904288,0.308626673277144,0.232095696753146,1.36617647058824,0.356669820245979,-697.496,3592.1794,-2828.0886,9.34,1746,0.337614715099335,90,-0.125,0.125,1,64,"BLM"
"93",742,1039,1344,1994,3143,2420,0.194727381665668,0.361593235425011,0.292047326643702,1.48363095238095,0.400936037441498,-552.173,3695.3568,-3029.1308,50,1960,5.06230688095093,86.1859283447266,-0.5,2,7,2,"BLM"
"94",1030,1396,1736,2230,3371,2876,0.124558749369642,0.250914262494921,0.186814572040842,1.28456221198157,0.320148815351478,-914.6442,4382.0468,-3244.9215,12,1667,5.52021265029907,142.431411743164,-0.125,2.375,6,4,"BLM"
"95",860,1203,1561,2022,3113,2589,0.128663131454089,0.233346831342377,0.19296776894098,1.29532351057015,0.332049636285837,-772.8352,3926.8534,-3009.2708,50.67,1837,8.84250831604004,155.376434326172,1.25,3.75,12,8,"BLM"
