"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"104",880,1181,1410,2100,2517,2190,0.196581196581197,0.435496086846756,0.29482979632531,1.48936170212766,0.281894576012223,181.5475,3946.0056,1413.7213,30,1782,0.0353406183421612,42.6438055038452,0,0.75,2,4,FALSE
"105",844,1110,1410,1901,2451,2193,0.148293566898218,0.304439484126984,0.222406764306206,1.34822695035461,0.26961926961927,48.8802000000001,3774.9556,1319.7653,35,1762,0.0784551426768303,41.2998080253601,0.25,1.75,7,8,FALSE
"106",1157,1631,1928,2385,2906,2605,0.105958729422676,0.216526106320478,0.158919670800974,1.23703319502075,0.202316921803889,-78.933,4856.5665,1730.7343,30,1535,0.0727582350373268,41.3179879188538,0.125,1.625,6,8,FALSE
"107",684,870,898,2042,2457,1804,0.389115646258503,1.24293785310734,0.583574222071076,2.2739420935412,0.46467958271237,563.0096,3352.8826,1371.598,45,2228,0.0212427191436291,42.055802822113,-0.75,1,3,2,FALSE
"108",830,1079,1326,1903,2268,2032,0.178693093837101,0.396836313617607,0.267998142127264,1.43514328808446,0.262103505843072,126.1409,3619.7047,1261.1263,55,1743,0.0166651234030724,38.7168145179749,0.375,0.375,1,64,FALSE
"109",926,1286,1526,2845,2593,2164,0.30176161061542,0.652066442554874,0.452590643943726,1.86435124508519,0.259043457149794,682.6446,4508.5999,1658.736,0,1789,8.88178419700125e-16,43.4292036294937,0,0,0,128,FALSE
"110",926,1286,1526,2845,2593,2164,0.30176161061542,0.652066442554874,0.452590643943726,1.86435124508519,0.259043457149794,682.6446,4508.5999,1658.736,15,1789,8.88178419700125e-16,43.4292036294937,0,0,0,128,FALSE
"111",1183,1639,1993,2427,2774,2678,0.0981900452488688,0.196789698013966,0.147268408551069,1.21776216758655,0.163834696874344,-94.6612000000001,4900.798,1625.593,10,1701,8.88178419700125e-16,43.4292036294937,0,0,0,16,FALSE
"112",1083,1461,1731,2186,2281,2112,0.1161603267807,0.255589259633749,0.174218251435865,1.26285384170999,0.137088733798604,-8.79119999999978,4238.9057,1477.015,50,1732,0.0294542610645294,44.8581029474735,0.125,0.625,2,64,FALSE
"113",1009,1321,1524,2204,2639,2524,0.182403433476395,0.449557054079069,0.273568459165884,1.44619422572178,0.267835695411963,99.4592000000001,4268.2853,1377.0118,0,1736,8.88178419700125e-16,40.2876110076904,0,0,0,32,FALSE
